Team 1,Team 2,Bet Type,Bet Info,Odds,Date of game,DateTime(when got odds),Sportsbook Name,Sport
DET Pistons,TOR Raptors,MoneyLine,DET Pistons,+120,Tomorrow ,2024-11-14 15:44:01.735721,DraftKings,NBA
TOR Raptors,DET Pistons,Spread,-2.5,−110,Tomorrow ,2024-11-14 15:44:01.736044,DraftKings,NBA
TOR Raptors,DET Pistons,Total,U230,−110,Tomorrow ,2024-11-14 15:44:01.736050,DraftKings,NBA
TOR Raptors,DET Pistons,MoneyLine,TOR Raptors,−142,Tomorrow ,2024-11-14 15:44:01.736055,DraftKings,NBA
MIA Heat,IND Pacers,Spread,+3.5,−110,Tomorrow ,2024-11-14 15:44:01.736362,DraftKings,NBA
MIA Heat,IND Pacers,Total,O230.5,−110,Tomorrow ,2024-11-14 15:44:01.736367,DraftKings,NBA
MIA Heat,IND Pacers,MoneyLine,MIA Heat,+136,Tomorrow ,2024-11-14 15:44:01.736372,DraftKings,NBA
IND Pacers,MIA Heat,Spread,-3.5,−110,Tomorrow ,2024-11-14 15:44:01.736679,DraftKings,NBA
IND Pacers,MIA Heat,Total,U230.5,−110,Tomorrow ,2024-11-14 15:44:01.736685,DraftKings,NBA
IND Pacers,MIA Heat,MoneyLine,IND Pacers,−162,Tomorrow ,2024-11-14 15:44:01.736690,DraftKings,NBA
CHI Bulls,CLE Cavaliers,Spread,+9.5,−110,Tomorrow ,2024-11-14 15:44:01.737000,DraftKings,NBA
CHI Bulls,CLE Cavaliers,Total,O232.5,−110,Tomorrow ,2024-11-14 15:44:01.737005,DraftKings,NBA
CHI Bulls,CLE Cavaliers,MoneyLine,CHI Bulls,+360,Tomorrow ,2024-11-14 15:44:01.737010,DraftKings,NBA
CLE Cavaliers,CHI Bulls,Spread,-9.5,−110,Tomorrow ,2024-11-14 15:44:01.737323,DraftKings,NBA
CLE Cavaliers,CHI Bulls,Total,U232.5,−110,Tomorrow ,2024-11-14 15:44:01.737329,DraftKings,NBA
CLE Cavaliers,CHI Bulls,MoneyLine,CLE Cavaliers,−470,Tomorrow ,2024-11-14 15:44:01.737334,DraftKings,NBA
BKN Nets,NY Knicks,Spread,+11,−108,Tomorrow ,2024-11-14 15:44:01.737644,DraftKings,NBA
BKN Nets,NY Knicks,Total,O216.5,−110,Tomorrow ,2024-11-14 15:44:01.737649,DraftKings,NBA
BKN Nets,NY Knicks,MoneyLine,BKN Nets,+500,Tomorrow ,2024-11-14 15:44:01.737654,DraftKings,NBA
NY Knicks,BKN Nets,Spread,-11,−112,Tomorrow ,2024-11-14 15:44:01.737961,DraftKings,NBA
NY Knicks,BKN Nets,Total,U216.5,−110,Tomorrow ,2024-11-14 15:44:01.737967,DraftKings,NBA
NY Knicks,BKN Nets,MoneyLine,NY Knicks,−700,Tomorrow ,2024-11-14 15:44:01.737972,DraftKings,NBA
WAS Wizards,ATL Hawks,Spread,+5,−110,Tomorrow ,2024-11-14 15:44:01.738279,DraftKings,NBA
WAS Wizards,ATL Hawks,Total,O235,−110,Tomorrow ,2024-11-14 15:44:01.738285,DraftKings,NBA
WAS Wizards,ATL Hawks,MoneyLine,WAS Wizards,+180,Tomorrow ,2024-11-14 15:44:01.738289,DraftKings,NBA
ATL Hawks,WAS Wizards,Spread,-5,−110,Tomorrow ,2024-11-14 15:44:01.738599,DraftKings,NBA
ATL Hawks,WAS Wizards,Total,U235,−110,Tomorrow ,2024-11-14 15:44:01.738604,DraftKings,NBA
ATL Hawks,WAS Wizards,MoneyLine,ATL Hawks,−218,Tomorrow ,2024-11-14 15:44:01.738609,DraftKings,NBA
LA Lakers,SA Spurs,Spread,-2,−110,Tomorrow ,2024-11-14 15:44:01.738922,DraftKings,NBA
LA Lakers,SA Spurs,Total,O229,−110,Tomorrow ,2024-11-14 15:44:01.738927,DraftKings,NBA
LA Lakers,SA Spurs,MoneyLine,LA Lakers,−130,Tomorrow ,2024-11-14 15:44:01.738932,DraftKings,NBA
SA Spurs,LA Lakers,Spread,+2,−110,Tomorrow ,2024-11-14 15:44:01.739243,DraftKings,NBA
SA Spurs,LA Lakers,Total,U229,−110,Tomorrow ,2024-11-14 15:44:01.739248,DraftKings,NBA
SA Spurs,LA Lakers,MoneyLine,SA Spurs,+110,Tomorrow ,2024-11-14 15:44:01.739253,DraftKings,NBA
DEN Nuggets,NO Pelicans,Spread,-8.5,−110,Tomorrow ,2024-11-14 15:44:01.739560,DraftKings,NBA
DEN Nuggets,NO Pelicans,Total,O225.5,−110,Tomorrow ,2024-11-14 15:44:01.739566,DraftKings,NBA
DEN Nuggets,NO Pelicans,MoneyLine,DEN Nuggets,−395,Tomorrow ,2024-11-14 15:44:01.739570,DraftKings,NBA
NO Pelicans,DEN Nuggets,Spread,+8.5,−110,Tomorrow ,2024-11-14 15:44:01.739884,DraftKings,NBA
